model,expected_intent,delivery_tracking_or_delay,delivered_but_missing,return_request,refund_or_payment_issue,order_cancellation,damaged_or_defective_item,wrong_or_incomplete_item,account_access_or_security,prime_membership,prime_video_issue,seller_or_marketplace_issue,general_or_context_missing
most_frequent_trivial,delivery_tracking_or_delay,47,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,delivered_but_missing,11,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,return_request,3,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,refund_or_payment_issue,14,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,order_cancellation,6,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,damaged_or_defective_item,5,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,wrong_or_incomplete_item,8,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,account_access_or_security,16,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,prime_membership,5,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,prime_video_issue,2,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,seller_or_marketplace_issue,1,0,0,0,0,0,0,0,0,0,0,0
most_frequent_trivial,general_or_context_missing,82,0,0,0,0,0,0,0,0,0,0,0
tfidf_logistic_regression,delivery_tracking_or_delay,27,4,1,2,3,4,3,0,3,0,0,0
tfidf_logistic_regression,delivered_but_missing,4,4,0,1,1,0,1,0,0,0,0,0
tfidf_logistic_regression,return_request,0,0,3,0,0,0,0,0,0,0,0,0
tfidf_logistic_regression,refund_or_payment_issue,1,0,1,7,1,0,0,3,1,0,0,0
tfidf_logistic_regression,order_cancellation,0,0,0,1,5,0,0,0,0,0,0,0
tfidf_logistic_regression,damaged_or_defective_item,0,0,0,0,0,2,2,0,0,1,0,0
tfidf_logistic_regression,wrong_or_incomplete_item,0,2,2,0,0,1,3,0,0,0,0,0
tfidf_logistic_regression,account_access_or_security,1,1,0,2,0,2,0,10,0,0,0,0
tfidf_logistic_regression,prime_membership,0,0,0,0,0,0,0,1,4,0,0,0
tfidf_logistic_regression,prime_video_issue,0,0,0,0,0,0,0,0,0,2,0,0
tfidf_logistic_regression,seller_or_marketplace_issue,0,0,0,0,1,0,0,0,0,0,0,0
tfidf_logistic_regression,general_or_context_missing,31,0,3,4,3,22,1,2,6,4,4,2
distilroberta,delivery_tracking_or_delay,23,7,2,1,2,2,5,0,4,1,0,0
distilroberta,delivered_but_missing,2,6,0,1,0,1,0,1,0,0,0,0
distilroberta,return_request,0,1,2,0,0,0,0,0,0,0,0,0
distilroberta,refund_or_payment_issue,1,0,1,6,2,0,0,1,3,0,0,0
distilroberta,order_cancellation,1,0,0,0,5,0,0,0,0,0,0,0
distilroberta,damaged_or_defective_item,0,0,1,0,0,4,0,0,0,0,0,0
distilroberta,wrong_or_incomplete_item,2,1,3,0,0,0,2,0,0,0,0,0
distilroberta,account_access_or_security,1,1,0,0,1,1,0,12,0,0,0,0
distilroberta,prime_membership,1,0,0,1,0,0,0,0,3,0,0,0
distilroberta,prime_video_issue,0,0,0,0,0,0,0,0,0,2,0,0
distilroberta,seller_or_marketplace_issue,0,0,0,0,0,0,0,0,0,0,1,0
distilroberta,general_or_context_missing,20,2,1,2,1,9,12,5,10,3,1,16
